Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
67	8.12548475600961e-07	4.090641422377509e-07	6257523.139374819	625.0	0.09440364992676724	3.628511505545155e-08
68	7.358408393581496e-07	1.237265024328667e-07	6258103.264030332	1250.0	0.030140511518860956	3.821145205753868e-08
69	7.136621899229155e-07	3.4089973582767034e-07	6259477.9830387775	625.0	0.07920607269969898	5.1804248060726364e-08
70	6.571357314187819e-07	1.1321083520329273e-07	6260031.4098159345	1250.0	0.03732654561176348	3.441125070594533e-08
71	6.326070872403136e-07	2.888036098188604e-07	6261317.936438094	625.0	0.06831666754255009	4.142425968777563e-08
72	5.893894108595886e-07	1.0294091270060629e-07	6261843.848881435	1250.0	0.041985482567496096	3.0830720459929325e-08
73	5.646435700389939e-07	2.481360153629407e-07	6263049.938999693	625.0	0.06031681853530149	3.400702708976833e-08
74	5.305860059710086e-07	9.31533307471015e-08	6263548.531772467	1250.0	0.04498475732377924	2.7557244197112125e-08
75	5.067176782682522e-07	2.1570350478470266e-07	6264681.108552163	625.0	0.05429147530998676	2.84787987936839e-08
76	4.792071736579422e-07	8.399980329343943e-08	6265153.1303252075	1250.0	0.04686446455688832	2.4612222260943396e-08
77	4.567493391881784e-07	1.8929387497688847e-07	6266218.305605917	625.0	0.04964771626158956	2.421498344082441e-08
78	4.3407272794577895e-07	7.555074350157692e-08	6266664.801893007	1250.0	0.04797561528288173	2.198646662949875e-08
79	4.13247773769446e-07	1.67369387915797e-07	6267667.957880869	625.0	0.04599153399142235	2.083583681482117e-08
80	3.942418287437149e-07	6.7822071741189e-08	6268090.119197902	1250.0	0.04855847171217433	1.965824281644777e-08
81	3.7509799949643565e-07	1.4885276892696959e-07	6269036.005418768	625.0	0.04305124873463536	1.8099418200148088e-08
82	3.5894951916900173e-07	6.079767878965723e-08	6269435.083296718	1250.0	0.048785966505057184	1.760135252662166e-08
83	3.4143777116384993e-07	1.3297968283142017e-07	6270327.917127987	625.0	0.04063130088693039	1.5844443259402624e-08
84	3.2756466971822777e-07	5.4443982993106004e-08	6270705.178818429	1250.0	0.04878830051821575	1.5788740594812486e-08
85	3.1158329738456427e-07	1.1919861960642685e-07	6271548.735911655	625.0	0.03858448808861107	1.3958931463439541e-08
86	2.995609767735313e-07	4.8718427199349985e-08	6271905.43882866	1250.0	0.048667277736996806	1.4194186289259233e-08
87	2.8498211085045007e-07	1.0710393284035726e-07	6272703.126381243	625.0	0.03679527338472284	1.2362406002628428e-08
88	2.74496079376679e-07	4.3574305909872354e-08	6273040.502034338	1250.0	0.04850471053640212	1.2793099591701975e-08
89	2.611816779984254e-07	9.639150235660327e-08	6273795.414654135	625.0	0.03893424126427495	1.1323127417088273e-08
90	2.5101272859918525e-07	3.6017204770855e-08	6274114.657367897	1250.0	0.03933568189113554	1.1119048985326373e-08
91	2.4113893242069987e-07	8.907780803558204e-08	6274867.851998422	625.0	0.03371557432344769	9.390972297202256e-09
