Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
78	4.3407271641023614e-07	7.555074514269141e-08	6266664.796528978	1250.0	0.04797563288660703	2.1986468547003643e-08
79	4.132477551460135e-07	1.6736935965933841e-07	6267667.952497682	625.0	0.04599151623199564	2.083583325510064e-08
80	3.942418183158636e-07	6.782207324155519e-08	6268090.113823678	1250.0	0.048558488757372315	1.9658244518412723e-08
81	3.7509798285499797e-07	1.4885274369325108e-07	6269036.000026676	625.0	0.043051231586138314	1.809941515654365e-08
82	3.5894950967638253e-07	6.079768015342957e-08	6269435.0779129295	1250.0	0.04878598319572146	1.7601354057549576e-08
83	3.414377561432149e-07	1.3297966009237945e-07	6270327.911727696	625.0	0.0406312841307717	1.5844440608631776e-08
84	3.2756466102910265e-07	5.4443984226840495e-08	6270705.173425912	1250.0	0.04878831699371334	1.5788741984607665e-08
85	3.1158328372255954e-07	1.191985989757789e-07	6271548.7305031605	625.0	0.038584471568227696	1.3958929119018345e-08
86	2.9956096878615985e-07	4.8718428311277975e-08	6271905.43342773	1250.0	0.048667294081132434	1.4194187557793951e-08
87	2.849820983557208e-07	1.0710391403193094e-07	6272703.120965294	625.0	0.036795256997423836	1.2362403903586534e-08
88	2.7449607201179993e-07	4.3574306908781525e-08	6273040.496625602	1250.0	0.04850472678464415	1.2793100751825688e-08
89	2.611816665306828e-07	9.639148515818146e-08	6273795.40923121	625.0	0.03893422460933376	1.132312547593611e-08
90	2.5101272192791246e-07	3.60172055450277e-08	6274114.651951915	1250.0	0.03933570636302255	1.1119050714244409e-08
91	2.411389198690667e-07	8.90777902104254e-08	6274867.846568359	625.0	0.03371555277247221	9.390970785170438e-09
